datetime,item_a,item_b,item_c
2025-01-01 00:00:00+09:00,90,80,67
2025-01-02 00:00:00+09:00,61,80,10
2025-01-03 00:00:00+09:00,82,88,82
2025-01-04 00:00:00+09:00,1,39,73
2025-01-05 00:00:00+09:00,50,98,57
2025-01-06 00:00:00+09:00,18,78,68
2025-01-07 00:00:00+09:00,76,38,79
2025-01-08 00:00:00+09:00,85,69,79
2025-01-09 00:00:00+09:00,18,35,18
2025-01-10 00:00:00+09:00,7,40,2
2025-01-11 00:00:00+09:00,43,22,35
2025-01-12 00:00:00+09:00,20,62,26
2025-01-13 00:00:00+09:00,48,44,62
2025-01-14 00:00:00+09:00,63,10,79
2025-01-15 00:00:00+09:00,9,54,50
2025-01-16 00:00:00+09:00,9,43,1
2025-01-17 00:00:00+09:00,67,61,67
2025-01-18 00:00:00+09:00,15,10,33
2025-01-19 00:00:00+09:00,10,42,13
2025-01-20 00:00:00+09:00,18,15,54
2025-01-21 00:00:00+09:00,95,72,16
2025-01-22 00:00:00+09:00,13,65,20
2025-01-23 00:00:00+09:00,81,71,40
2025-01-24 00:00:00+09:00,98,67,6
2025-01-25 00:00:00+09:00,45,56,41
2025-01-26 00:00:00+09:00,76,40,23
2025-01-27 00:00:00+09:00,39,52,32
2025-01-28 00:00:00+09:00,25,97,42
2025-01-29 00:00:00+09:00,10,59,19
2025-01-30 00:00:00+09:00,49,74,30
2025-01-31 00:00:00+09:00,97,95,70
2025-02-01 00:00:00+09:00,21,2,83
2025-02-02 00:00:00+09:00,28,58,86
2025-02-03 00:00:00+09:00,36,11,11
2025-02-04 00:00:00+09:00,25,7,55
2025-02-05 00:00:00+09:00,91,25,16
2025-02-06 00:00:00+09:00,33,46,28
2025-02-07 00:00:00+09:00,6,53,2
2025-02-08 00:00:00+09:00,65,12,16
2025-02-09 00:00:00+09:00,20,35,70
2025-02-10 00:00:00+09:00,67,86,41
2025-02-11 00:00:00+09:00,26,55,29
2025-02-12 00:00:00+09:00,70,29,65
2025-02-13 00:00:00+09:00,95,52,34
2025-02-14 00:00:00+09:00,99,57,33
2025-02-15 00:00:00+09:00,78,92,35
2025-02-16 00:00:00+09:00,44,86,90
2025-02-17 00:00:00+09:00,10,65,8
2025-02-18 00:00:00+09:00,66,40,62
2025-02-19 00:00:00+09:00,88,81,7
2025-02-20 00:00:00+09:00,8,54,94
2025-02-21 00:00:00+09:00,38,31,38
2025-02-22 00:00:00+09:00,7,59,72
2025-02-23 00:00:00+09:00,32,55,47
2025-02-24 00:00:00+09:00,56,88,1
2025-02-25 00:00:00+09:00,7,96,35
2025-02-26 00:00:00+09:00,11,20,83
2025-02-27 00:00:00+09:00,37,72,11
2025-02-28 00:00:00+09:00,76,33,80
2025-03-01 00:00:00+09:00,97,19,66
2025-03-02 00:00:00+09:00,42,89,82
2025-03-03 00:00:00+09:00,38,51,45
2025-03-04 00:00:00+09:00,36,25,64
2025-03-05 00:00:00+09:00,37,12,87
2025-03-06 00:00:00+09:00,38,37,80
2025-03-07 00:00:00+09:00,38,38,72
2025-03-08 00:00:00+09:00,13,87,50
2025-03-09 00:00:00+09:00,4,66,18
2025-03-10 00:00:00+09:00,60,77,33
2025-03-11 00:00:00+09:00,35,26,23
2025-03-12 00:00:00+09:00,25,48,22
2025-03-13 00:00:00+09:00,12,66,44
2025-03-14 00:00:00+09:00,69,44,35
2025-03-15 00:00:00+09:00,8,32,29
2025-03-16 00:00:00+09:00,3,59,53
2025-03-17 00:00:00+09:00,27,64,93
2025-03-18 00:00:00+09:00,97,68,8
2025-03-19 00:00:00+09:00,40,47,40
2025-03-20 00:00:00+09:00,79,2,2
2025-03-21 00:00:00+09:00,71,55,17
2025-03-22 00:00:00+09:00,11,78,39
2025-03-23 00:00:00+09:00,20,96,43
2025-03-24 00:00:00+09:00,94,60,30
2025-03-25 00:00:00+09:00,82,77,73
2025-03-26 00:00:00+09:00,35,11,20
2025-03-27 00:00:00+09:00,23,50,61
2025-03-28 00:00:00+09:00,95,14,35
2025-03-29 00:00:00+09:00,43,42,78
2025-03-30 00:00:00+09:00,8,2,1
2025-03-31 00:00:00+09:00,51,82,54
